,ResponseId,LanguageHaveWorkedWith
160,161,Assembly;Python
161,162,Matlab
162,163,Bash/Shell;HTML/CSS;JavaScript;PHP
163,164,C#
164,165,Bash/Shell;C;Go;HTML/CSS;JavaScript;Node.js;Python;TypeScript
165,166,C#;Go
166,167,JavaScript;PHP;SQL
167,168,HTML/CSS;Java;JavaScript;Node.js;Perl;PHP;PowerShell;Python;Rust;SQL;TypeScript
168,169,HTML/CSS;JavaScript;Python;SQL
169,170,Dart;HTML/CSS;Python;SQL
170,171,Python;R
171,172,Go;JavaScript;PHP
172,173,C;C#;C++;Java;Kotlin;PHP;SQL
173,174,Java;JavaScript;Node.js;TypeScript
174,175,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript
175,176,Go;JavaScript;Python;SQL
176,177,
177,178,C#;JavaScript
178,179,Groovy;Java;Kotlin
179,180,Java;JavaScript;SQL
180,181,C;C++;HTML/CSS;JavaScript
181,182,Bash/Shell;Python;Scala;SQL
182,183,C;C++;Delphi;Go;HTML/CSS;Perl;Python;R;Ruby;Rust
183,184,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL
184,185,C#;HTML/CSS;JavaScript;PHP;SQL
185,186,Java;TypeScript
186,187,HTML/CSS;Java;JavaScript;Node.js;TypeScript
187,188,C;C#;C++;HTML/CSS;JavaScript;SQL;TypeScript
188,189,Assembly;C#;C++;HTML/CSS;JavaScript;Python;R;TypeScript
189,190,C;Dart;HTML/CSS;Java;Python
190,191,C;C++;JavaScript;Objective-C;Python;Swift;TypeScript
191,192,HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL
192,193,Bash/Shell;Go;HTML/CSS;JavaScript;Ruby;SQL;TypeScript
193,194,HTML/CSS;Java
194,195,C#;HTML/CSS;JavaScript;SQL
195,196,HTML/CSS;JavaScript;Python
196,197,Bash/Shell;C;C++;Python
197,198,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL
198,199,JavaScript;Python
199,200,C#;HTML/CSS;SQL;TypeScript
200,201,Java;Kotlin;Python;Scala
201,202,C#;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript;VBA
202,203,HTML/CSS;Java;JavaScript;Python;SQL
203,204,C#
204,205,HTML/CSS;JavaScript;Node.js
205,206,C;C#;C++;HTML/CSS;JavaScript;Node.js;PHP;Python;R;SQL;TypeScript
206,207,
207,208,HTML/CSS;Java;JavaScript;SQL
208,209,Bash/Shell;HTML/CSS;JavaScript;Node.js;SQL
209,210,C#;HTML/CSS;Matlab;Python;R;SQL
210,211,Bash/Shell;Java;JavaScript;Node.js;Python;TypeScript
211,212,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Objective-C;PHP;SQL;Swift;TypeScript
212,213,Bash/Shell;C;C++
213,214,C#;Java;Python
214,215,Bash/Shell;C;C++;Go;HTML/CSS;JavaScript;Python;Rust
215,216,Dart
216,217,C#;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript
217,218,Bash/Shell;C;HTML/CSS;JavaScript;Node.js;Objective-C;PHP;SQL
218,219,C#;Dart;Kotlin;Python
219,220,HTML/CSS;Java;JavaScript;Node.js;Python
220,221,HTML/CSS;Java;JavaScript;Node.js;PHP;SQL;TypeScript
221,222,HTML/CSS;PowerShell
222,223,Bash/Shell;Go;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;Ruby;TypeScript
223,224,Haskell;HTML/CSS;JavaScript;Node.js;TypeScript
224,225,Python
225,226,C#;Dart;HTML/CSS;JavaScript;Node.js;SQL;TypeScript
226,227,Java;Kotlin
227,228,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;SQL;TypeScript
228,229,C;C#;C++;HTML/CSS;JavaScript;PowerShell;TypeScript;VBA
229,230,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL
230,231,HTML/CSS;JavaScript;TypeScript
231,232,JavaScript;Node.js;Python;SQL
232,233,R
233,234,HTML/CSS;Java;JavaScript;Node.js;SQL
234,235,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Ruby;SQL;TypeScript
235,236,Dart;HTML/CSS;JavaScript;Node.js;PHP
236,237,HTML/CSS;JavaScript;TypeScript
237,238,HTML/CSS;JavaScript;Node.js;Rust;TypeScript
238,239,Go;HTML/CSS;JavaScript;Python;SQL;TypeScript
239,240,Bash/Shell;C;HTML/CSS;PHP
240,241,C#;HTML/CSS;Java;JavaScript;Objective-C;PowerShell;SQL;Swift;TypeScript
241,242,C;C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Ruby;SQL;TypeScript;VBA
242,243,Java;SQL
243,244,C#;C++
244,245,Bash/Shell;Objective-C;Swift
245,246,C;C#;C++;HTML/CSS;Node.js;SQL
246,247,C#
247,248,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python
248,249,C;C++;HTML/CSS;Java;JavaScript;Matlab;Perl;Python;R;SQL
249,250,Bash/Shell;HTML/CSS;JavaScript;Python;SQL
250,251,Python;SQL
251,252,HTML/CSS;Python
252,253,R
253,254,C#;HTML/CSS;JavaScript;PowerShell;SQL
254,255,HTML/CSS;JavaScript;Node.js;PHP
255,256,Bash/Shell;C;C#;C++;Go;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript
256,257,C#;HTML/CSS;Java;SQL;VBA
257,258,C;HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript
258,259,HTML/CSS;Java;PHP
259,260,HTML/CSS;JavaScript;Node.js;TypeScript
260,261,C#;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript
261,262,Bash/Shell;C;Java;Kotlin;Perl;PowerShell;Python
262,263,HTML/CSS;JavaScript;Node.js;Objective-C;Swift;TypeScript
263,264,Bash/Shell;C;C++;Java;JavaScript;Node.js;PHP;Python;Ruby;SQL;TypeScript
264,265,C#;HTML/CSS;SQL;TypeScript
265,266,HTML/CSS;JavaScript;PHP;Python;Rust;SQL
266,267,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;Python;SQL;TypeScript
267,268,HTML/CSS;Java;JavaScript;Node.js;SQL
268,269,Bash/Shell;Python
269,270,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;TypeScript
270,271,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript
271,272,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript
272,273,Bash/Shell;C;C#;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;PowerShell;Python;Ruby;SQL;TypeScript
273,274,C;HTML/CSS;JavaScript;Node.js;TypeScript
274,275,C;C++;Java;Python
275,276,C#;HTML/CSS;JavaScript;SQL;VBA
276,277,Bash/Shell;Go;HTML/CSS;JavaScript;SQL;TypeScript
277,278,Assembly;Bash/Shell;C;C++;Haskell;HTML/CSS;Python;SQL
278,279,Bash/Shell;C;C++;JavaScript;Python
279,280,Java;Scala
280,281,C#;Dart;Go;Java;JavaScript;Matlab;SQL
281,282,HTML/CSS;JavaScript;PHP
282,283,Bash/Shell;HTML/CSS;JavaScript;Node.js;Perl;PHP;Python;Ruby;SQL
283,284,HTML/CSS;Java;Python
284,285,HTML/CSS;JavaScript;Python
285,286,Bash/Shell;Perl;PowerShell;VBA
286,287,Bash/Shell;HTML/CSS;Java;JavaScript;Python;SQL
287,288,Bash/Shell;C;C#;C++;Go;HTML/CSS;Java;JavaScript;Perl;Python;SQL
288,289,C;Delphi;Java
289,290,HTML/CSS;JavaScript;Node.js;Python;Ruby;SQL;TypeScript
290,291,HTML/CSS;JavaScript;PHP;SQL
291,292,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Python
292,293,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;SQL
293,294,C++;Kotlin
294,295,C++;Java;JavaScript;Python
295,296,C#;Go;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL
296,297,Dart;HTML/CSS;JavaScript;TypeScript
297,298,C++;Go;HTML/CSS;Java;JavaScript;Node.js;Python;SQL
298,299,Bash/Shell;PHP;R;SQL
299,300,Bash/Shell;HTML/CSS;PowerShell;Python;SQL
300,301,Kotlin;Python
301,302,Assembly;Bash/Shell;C;C#;C++;Go;HTML/CSS;Java;JavaScript;Matlab;PHP;Python;R;SQL;TypeScript;VBA
302,303,Swift
303,304,C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
304,305,HTML/CSS;JavaScript;Node.js;SQL;TypeScript
305,306,C#;JavaScript;Kotlin;TypeScript
306,307,PHP
307,308,Bash/Shell;C;Delphi;HTML/CSS;JavaScript;Node.js;PHP;Python;Rust;SQL;TypeScript
308,309,HTML/CSS;JavaScript;TypeScript
309,310,Bash/Shell;Java;SQL
310,311,HTML/CSS;JavaScript;Node.js;PHP
311,312,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
312,313,Matlab;Python;Ruby
313,314,HTML/CSS;JavaScript;Node.js;PHP;SQL
314,315,Haskell;Java;JavaScript;Python;Rust;Scala
315,316,Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL
316,317,JavaScript;Kotlin
317,318,Assembly;Bash/Shell;C;C++;Dart;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;PowerShell;Python;TypeScript
318,319,C#;HTML/CSS;TypeScript
319,320,Java;JavaScript;Node.js;PHP
320,321,C;Delphi;HTML/CSS;JavaScript;PowerShell;Python;SQL
321,322,Bash/Shell;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA
322,323,C;C++;Dart;Java;JavaScript;Kotlin;Node.js;R
323,324,Bash/Shell;C;C#;HTML/CSS;JavaScript;Node.js;Python
324,325,Bash/Shell;Go;Groovy;HTML/CSS;Java;JavaScript;Node.js;Python;TypeScript
325,326,
326,327,C;Python;Rust
327,328,Assembly;C;C#;VBA
328,329,C#;C++;JavaScript;SQL
329,330,Bash/Shell;C#;HTML/CSS;PHP;SQL;VBA
330,331,HTML/CSS;JavaScript;Node.js
331,332,Java;Python
332,333,Assembly;Bash/Shell;C;Go;Python;Rust
333,334,Bash/Shell;Dart;HTML/CSS;JavaScript;Python
334,335,Bash/Shell;HTML/CSS;Java;JavaScript;Python
335,336,Bash/Shell;C#;Java;Kotlin;SQL;VBA
336,337,C#;PowerShell;Python
337,338,Python
338,339,Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;Rust;Scala;SQL;TypeScript
339,340,C#;C++;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript
340,341,C;C++;HTML/CSS;JavaScript;Python
341,342,HTML/CSS;JavaScript;PHP;SQL
342,343,Bash/Shell;HTML/CSS;JavaScript;Node.js;PowerShell;VBA
343,344,C;C#;Dart;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Swift
344,345,Bash/Shell;C#;Go;Groovy;HTML/CSS;JavaScript;Node.js;PowerShell;Python;Rust;SQL;TypeScript
345,346,Objective-C;Ruby;Swift
346,347,HTML/CSS;JavaScript;TypeScript
347,348,C#;HTML/CSS;JavaScript;Kotlin;Node.js;Objective-C;PowerShell;SQL;TypeScript
348,349,HTML/CSS;JavaScript
349,350,C#;HTML/CSS;JavaScript;SQL
350,351,C;C++;PHP;Python
351,352,Bash/Shell;HTML/CSS;JavaScript;PHP;PowerShell;Ruby;SQL;TypeScript
352,353,C#;HTML/CSS;JavaScript
353,354,HTML/CSS;JavaScript;Node.js;Swift
354,355,C++;Java;JavaScript;Kotlin;Python;SQL
355,356,Bash/Shell;HTML/CSS;Java;Rust;SQL
356,357,C#;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;TypeScript
357,358,C#;HTML/CSS;JavaScript
358,359,Bash/Shell;Python
359,360,Go
360,361,HTML/CSS;Node.js;Python;TypeScript
361,362,C;C++;HTML/CSS;JavaScript;Julia;Node.js;Python;R;SQL;TypeScript
362,363,C;C++;HTML/CSS;Java;JavaScript
363,364,Python
364,365,LISP;PHP;Python;Scala;SQL
365,366,Dart;Node.js;Python;SQL;TypeScript
366,367,HTML/CSS;JavaScript;Node.js;PHP;SQL
367,368,HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript
368,369,Bash/Shell;JavaScript;PHP;SQL
369,370,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;SQL
370,371,Bash/Shell
371,372,C++;Elixir;Rust
372,373,Go;JavaScript;Python;TypeScript
373,374,C;C++;Java;Matlab;R
374,375,Python
375,376,C;Go;HTML/CSS;JavaScript;Node.js;Python;Rust;SQL;TypeScript
376,377,HTML/CSS;JavaScript;Python;SQL
377,378,Bash/Shell;C++;HTML/CSS;Java;JavaScript;Matlab;Python;TypeScript
378,379,C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
379,380,JavaScript;Python
380,381,C#
381,382,Bash/Shell;Python
382,383,Bash/Shell;HTML/CSS;JavaScript;Node.js;TypeScript
383,384,HTML/CSS;JavaScript
384,385,Bash/Shell;C++;Groovy;Java;Kotlin;Swift
385,386,Assembly;Bash/Shell;C;C++;PowerShell;Python
386,387,Assembly;Bash/Shell;C;C++;HTML/CSS;Java;Perl;Python;SQL
387,388,HTML/CSS;Java;JavaScript;Kotlin;PHP;Swift;TypeScript
388,389,C;C++;HTML/CSS;JavaScript;Node.js;PHP;SQL
389,390,Bash/Shell;JavaScript;Python;SQL
390,391,Dart;Python
391,392,C++;JavaScript;Node.js;Python;Swift;TypeScript
392,393,Assembly;Bash/Shell;C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL
393,394,C;C#;C++;Python
394,395,C;C++;HTML/CSS;Java;JavaScript;Python
395,396,C;C++;Java;Python
396,397,HTML/CSS;JavaScript;PHP;Python;SQL
397,398,Bash/Shell;Python;SQL
398,399,C;C#;SQL
399,400,Dart;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript
400,401,HTML/CSS;JavaScript;PHP
401,402,Bash/Shell;HTML/CSS;JavaScript;Node.js;SQL;TypeScript
402,403,Go;Groovy;Java;Kotlin;Python
403,404,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL
404,405,Haskell;JavaScript
405,406,C#
406,407,C#;HTML/CSS;JavaScript
407,408,Dart;HTML/CSS;JavaScript;Python
408,409,C#;C++;HTML/CSS;Python
409,410,Kotlin
410,411,C#;HTML/CSS;JavaScript;Node.js
411,412,Python;Ruby
412,413,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;Objective-C;PHP;Python;R;Ruby;SQL;TypeScript
413,414,C#;HTML/CSS;JavaScript;SQL
414,415,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL
415,416,HTML/CSS;Java;JavaScript;SQL;TypeScript
416,417,HTML/CSS;PHP;SQL
417,418,Bash/Shell;C;C++;Go;Groovy;Python
418,419,C;C#;C++;HTML/CSS;JavaScript;Matlab;Node.js;Python;TypeScript
419,420,C++;PowerShell
420,421,Bash/Shell;Java;JavaScript;Python;SQL
421,422,C#;Java
422,423,C;C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
423,424,Assembly;C;C++;Java;Python;Swift
424,425,Bash/Shell;C;C++;Java;Rust;SQL
425,426,C#;HTML/CSS;JavaScript;Node.js;TypeScript
426,427,C;Matlab;Python;Rust;SQL
427,428,Go
428,429,Delphi;Java;Swift
429,430,Java;JavaScript;Python;Scala;SQL
430,431,Assembly;Haskell;Java;Python;SQL;VBA
431,432,Assembly;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;Rust;SQL
432,433,Bash/Shell;Perl;R;SQL
433,434,C#;Dart;Delphi;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;PowerShell;Python;Ruby;SQL;TypeScript
434,435,Python
435,436,C#;C++
436,437,C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Scala;SQL
437,438,C;Go;Perl;Python
438,439,Java;JavaScript;Python;SQL
439,440,APL;Erlang;Go;Python
440,441,Bash/Shell;JavaScript;Python;SQL
441,442,JavaScript;TypeScript
442,443,JavaScript;Node.js;PHP;Python
443,444,Python;Rust
444,445,HTML/CSS;Java;JavaScript
445,446,Bash/Shell;C;C++;Java;Python
446,447,C#;HTML/CSS;Java;JavaScript;Node.js;PHP
447,448,C++;Matlab;Python
448,449,Elixir;HTML/CSS;JavaScript;Ruby
449,450,Bash/Shell;JavaScript;Python;SQL
450,451,Bash/Shell;Python
451,452,C#;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript
452,453,C#;HTML/CSS;Java;JavaScript;PHP;TypeScript
453,454,C++;Python
454,455,C#;JavaScript;Node.js;TypeScript
455,456,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;SQL;Swift
456,457,HTML/CSS;JavaScript;PHP;SQL
457,458,Python
458,459,HTML/CSS;JavaScript;Node.js
459,460,HTML/CSS;JavaScript;Node.js;TypeScript
460,461,Groovy;Java;JavaScript;Node.js;SQL;TypeScript
461,462,C++;HTML/CSS;JavaScript;Kotlin;PHP;SQL
462,463,C;HTML/CSS;JavaScript;Node.js;SQL;TypeScript
463,464,C#;C++
464,465,C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript
465,466,Assembly;Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Matlab;Python;R;SQL;TypeScript
466,467,Java
467,468,Go;JavaScript;SQL;TypeScript
468,469,Bash/Shell;C;C++;HTML/CSS;JavaScript;Node.js;Python;TypeScript
469,470,HTML/CSS;Java;JavaScript;Node.js;SQL
470,471,C#;HTML/CSS;Java;JavaScript;Objective-C;SQL;Swift;VBA
471,472,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL;Swift;TypeScript
472,473,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript
473,474,HTML/CSS;JavaScript;Node.js;TypeScript
474,475,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Scala;SQL;TypeScript
475,476,Bash/Shell;C#;C++;Go;HTML/CSS;Java;JavaScript;Node.js;Python
476,477,C#;HTML/CSS;JavaScript;Node.js;R;Ruby;SQL;TypeScript
477,478,Bash/Shell;Java;Python;SQL
478,479,Bash/Shell;Java;JavaScript;Python
479,480,HTML/CSS;Java;JavaScript;Node.js;SQL
480,481,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell
481,482,Bash/Shell;Ruby;SQL
482,483,Bash/Shell;Go;HTML/CSS;JavaScript;Node.js;Python;TypeScript
483,484,C#;HTML/CSS;JavaScript;Node.js;TypeScript
484,485,C++;Java;Python
485,486,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
486,487,Assembly;C;C++;Java;Matlab;Python;SQL
487,488,Bash/Shell;C;HTML/CSS;Java;JavaScript;Python;SQL
488,489,C;Groovy;Python
